id,name,street,town,area,lat,lng,provider
5203,"CC vest, P-hus nord","Lilleakerveien 16, 0283 Oslo",Oslo,Oslo,59.91857,10.63498,CC vest
3359,Care Center Continentalgarasjen,"Klingenberggata 3, 0161 Oslo",Oslo,Oslo,59.91379,10.73308,Care Center
3360,"Care Center RadissonBLU Plaza, Oslo","Sonja Henies plass 3, 0134 Oslo",Oslo,Oslo,59.91266,10.75622,Care Center
2201,"Caspar Storms vei, Oslo","Caspar Storms vei 14, 0664 Oslo",Oslo,Oslo,59.92054,10.82887,Q-park
1661,Chr. Kroghkvartalet p-hus,"Christian Krohgs gate 39, 0186 Oslo",Oslo,Oslo,59.91604,10.7593,"Q-park, Christian Krohgs gate 39/41/43 AS"
6302,Christian Michelsens gate 3,"Christian Michelsens gate 3C, 0568 Oslo",Oslo,Oslo,59.92676,10.77495,Mer
6853,Christophers vei,"Christophers vei 1-9, 0871 Oslo",Oslo,Oslo,59.949674,10.752089,Oslo kommune
5688,Circle K Abildsø,"Lambertseterveien 70, 1187 Oslo",Oslo,Oslo,59.87918,10.819441,Circle K
3685,Circle K Bjerke,"Økern Torgvei 100, 0589 Oslo",Oslo,Oslo,59.94176,10.80939,Mer
6675,Circle K Brynseng,"Østensjøveien 32, 0667 Oslo",Oslo,Oslo,59.9117,10.81092,Circle K
6068,Circle K Furuset E6,"Tevlingveien 19, 1081 Oslo",Oslo,Oslo,59.93045,10.86724,Circle K
5770,Circle K Kiellands plass,"Uelands gate 55, 0175 Oslo",Oslo,Oslo,59.928799,10.750504,Circle K
3759,Circle K Skøyen,"Drammensveien 161B, 0277 Oslo",Oslo,Oslo,59.92205,10.67504,Mer
4035,Circle K Storo,"Vitaminveien 1B, 0485 Oslo",Oslo,Oslo,59.94625,10.77653,Mer
1111,Circle K Økern,"Østre Aker vei 29, 0581 Oslo",Oslo,Oslo,59.927573,10.810053,Circle K
1287,"Cockhaven Forening, Oslo","Arkitekt Steckmests vei 2-4, 0198 Oslo",Oslo,Oslo,59.87718,10.76058,Cockhaven Forening
6854,Colbjørnsens gate,"Colbjørnsens gate 15, 0260 Oslo",Oslo,Oslo,59.9178396,10.7149315,Oslo kommune
3208,Colosseum P-hus,"Essendropsgate 5, 0368 Oslo",Oslo,Oslo,59.92926,10.71083,Q-Park
6911,"Colosseum P-hus, Plan K1","Essendrops gate 5, 0368 Oslo",Oslo,Oslo,59.92891,10.70998,Aimo Park Norway AS
3287,"Coop OBS Bygg Grorud, Oslo","Haavard Martinsens vei 7, 0978 Oslo",Oslo,Oslo,59.95563,10.9037,Recharge
2322,"Dalsbergstien P-hus, Oslo","Dalsbergstien 19, 0170 Oslo",Oslo,Oslo,59.92308,10.73293,Time Park
6495,Damplassen,"Damplassen , 0852 Oslo",Oslo,Oslo,59.94374,10.73349,Oslo kommune
1855,"Dannevigsveien, Oslo","Dannevigsveien 6, 0463 Oslo",Oslo,Oslo,59.93649,10.75492,Oslo kommune
920,"Diakonhjemmet sykehus, Oslo","Hartvig Halvorsens vei 2, 0370 Oslo",Oslo,Oslo,59.93707,10.70346,Diakonhjemmet sykehus
3278,"Diakonhjemmet sykehus, stor parkeringsplass, Oslo","Borgenveien 5, 0370 Oslo",Oslo,Oslo,59.93447,10.70306,Diakonhjemmet sykehus
3180,"Digiplex, Oslo","Ulvenveien 89b, 0581 Oslo",Oslo,Oslo,59.92473,10.81018,Digiplex
1884,Drammensbanen,"Bygdøy Allé 107, 0273 Oslo",Oslo,Oslo,59.91918,10.6929,Oslo kommune
4297,Drammensveien 288,"Drammensveien 288, 0283 Oslo",Oslo,Oslo,59.91367,10.64475,Q-Park AS
